,Survived,Sex,socioeconomicstatus,embarkedport,agegroup,familymembers,hasfamily
138,0,male,lower,Southampton,Teenager,0,0
139,0,male,upper,Cherbourg,Young Adult,0,0
140,0,female,lower,Cherbourg,Adult,2,1
141,1,female,lower,Southampton,Young Adult,0,0
142,1,female,lower,Southampton,Young Adult,1,1
143,0,male,lower,Queenstown,Young Adult,0,0
144,0,male,middle,Southampton,Teenager,0,0
145,0,male,middle,Southampton,Young Adult,2,1
146,1,male,lower,Southampton,Adult,0,0
147,0,female,lower,Southampton,Adolescent,4,1
148,0,male,middle,Southampton,Adult,2,1
149,0,male,middle,Southampton,Elder,0,0
150,0,male,middle,Southampton,Elder,0,0
151,1,female,upper,Southampton,Young Adult,1,1
152,0,male,lower,Southampton,Elder,0,0
153,0,male,lower,Southampton,Elder,2,1
154,0,male,lower,Southampton,Adult,0,0
155,0,male,upper,Cherbourg,Elder,1,1
156,1,female,lower,Queenstown,Teenager,0,0
157,0,male,lower,Southampton,Adult,0,0
158,0,male,lower,Southampton,Adult,0,0
159,0,male,lower,Southampton,Adult,10,1
160,0,male,lower,Southampton,Elder,1,1
161,1,female,middle,Southampton,Adult,0,0
162,0,male,lower,Southampton,Adult,0,0
163,0,male,lower,Southampton,Teenager,0,0
164,0,male,lower,Southampton,Adolescent,5,1
165,1,male,lower,Southampton,Adolescent,2,1
166,1,female,upper,Southampton,Adult,1,1
167,0,female,lower,Southampton,Elder,5,1
168,0,male,upper,Southampton,Adult,0,0
169,0,male,lower,Southampton,Adult,0,0
170,0,male,upper,Southampton,Elder,0,0
171,0,male,lower,Queenstown,Adolescent,5,1
172,1,female,lower,Southampton,Adolescent,2,1
173,0,male,lower,Southampton,Young Adult,0,0
174,0,male,upper,Cherbourg,Elder,0,0
175,0,male,lower,Southampton,Teenager,2,1
176,0,male,lower,Southampton,Adult,4,1
177,0,female,upper,Cherbourg,Elder,0,0
178,0,male,middle,Southampton,Adult,0,0
179,0,male,lower,Southampton,Adult,0,0
180,0,female,lower,Southampton,Adult,10,1
181,0,male,middle,Cherbourg,Adult,0,0
182,0,male,lower,Southampton,Adolescent,6,1
183,1,male,middle,Southampton,Adolescent,3,1
184,1,female,lower,Southampton,Adolescent,2,1
185,0,male,upper,Southampton,Adult,0,0
186,1,female,lower,Queenstown,Adult,1,1
187,1,male,upper,Southampton,Elder,0,0
188,0,male,lower,Queenstown,Adult,2,1
189,0,male,lower,Southampton,Adult,0,0
190,1,female,middle,Southampton,Adult,0,0
191,0,male,middle,Southampton,Young Adult,0,0
192,1,female,lower,Southampton,Young Adult,1,1
193,1,male,middle,Southampton,Adolescent,2,1
194,1,female,upper,Cherbourg,Elder,0,0
195,1,female,upper,Cherbourg,Elder,0,0
196,0,male,lower,Queenstown,Adult,0,0
197,0,male,lower,Southampton,Elder,1,1
198,1,female,lower,Queenstown,Adult,0,0
199,0,female,middle,Southampton,Young Adult,0,0
200,0,male,lower,Southampton,Adult,0,0
201,0,male,lower,Southampton,Adult,10,1
202,0,male,lower,Southampton,Adult,0,0
203,0,male,lower,Cherbourg,Elder,0,0
204,1,male,lower,Southampton,Teenager,0,0
205,0,female,lower,Southampton,Adolescent,1,1
206,0,male,lower,Southampton,Adult,1,1
207,1,male,lower,Cherbourg,Adult,0,0
208,1,female,lower,Queenstown,Teenager,0,0
209,1,male,upper,Cherbourg,Adult,0,0
210,0,male,lower,Southampton,Young Adult,0,0
211,1,female,middle,Southampton,Adult,0,0
212,0,male,lower,Southampton,Young Adult,0,0
213,0,male,middle,Southampton,Adult,0,0
214,0,male,lower,Queenstown,Adult,1,1
215,1,female,upper,Cherbourg,Adult,1,1
216,1,female,lower,Southampton,Adult,0,0
217,0,male,middle,Southampton,Elder,1,1
218,1,female,upper,Cherbourg,Adult,0,0
219,0,male,middle,Southampton,Adult,0,0
220,1,male,lower,Southampton,Teenager,0,0
221,0,male,middle,Southampton,Adult,0,0
222,0,male,lower,Southampton,Elder,0,0
223,0,male,lower,Southampton,Adult,0,0
224,1,male,upper,Southampton,Adult,1,1
225,0,male,lower,Southampton,Young Adult,0,0
226,1,male,middle,Southampton,Young Adult,0,0
227,0,male,lower,Southampton,Young Adult,0,0
228,0,male,middle,Southampton,Teenager,0,0
229,0,female,lower,Southampton,Adult,4,1
230,1,female,upper,Southampton,Adult,1,1
231,0,male,lower,Southampton,Adult,0,0
232,0,male,middle,Southampton,Elder,0,0
233,1,female,lower,Southampton,Adolescent,6,1
234,0,male,middle,Southampton,Young Adult,0,0
235,0,female,lower,Southampton,Adult,0,0
236,0,male,middle,Southampton,Elder,1,1
237,1,female,middle,Southampton,Adolescent,2,1
238,0,male,middle,Southampton,Young Adult,0,0
239,0,male,middle,Southampton,Adult,0,0
240,0,female,lower,Cherbourg,Adult,1,1
241,1,female,lower,Queenstown,Adult,1,1
242,0,male,middle,Southampton,Adult,0,0
243,0,male,lower,Southampton,Young Adult,0,0
244,0,male,lower,Cherbourg,Adult,0,0
245,0,male,upper,Queenstown,Elder,2,1
246,0,female,lower,Southampton,Young Adult,0,0
247,1,female,middle,Southampton,Young Adult,2,1
248,1,male,upper,Southampton,Adult,2,1
249,0,male,middle,Southampton,Elder,1,1
250,0,male,lower,Southampton,Adult,0,0
251,0,female,lower,Southampton,Adult,2,1
252,0,male,upper,Southampton,Elder,0,0
253,0,male,lower,Southampton,Adult,1,1
254,0,female,lower,Southampton,Elder,2,1
255,1,female,lower,Cherbourg,Adult,2,1
256,1,female,upper,Cherbourg,Adult,0,0
257,1,female,upper,Southampton,Adult,0,0
258,1,female,upper,Cherbourg,Adult,0,0
259,1,female,middle,Southampton,Elder,1,1
260,0,male,lower,Queenstown,Adult,0,0
261,1,male,lower,Southampton,Adolescent,6,1
262,0,male,upper,Southampton,Elder,2,1
263,0,male,upper,Southampton,Adult,0,0
264,0,female,lower,Queenstown,Adult,0,0
265,0,male,middle,Southampton,Adult,0,0
266,0,male,lower,Southampton,Teenager,5,1
267,1,male,lower,Southampton,Young Adult,1,1
268,1,female,upper,Southampton,Elder,1,1
269,1,female,upper,Southampton,Adult,0,0
270,0,male,upper,Southampton,Adult,0,0
271,1,male,lower,Southampton,Young Adult,0,0
272,1,female,middle,Southampton,Elder,1,1
273,0,male,upper,Cherbourg,Adult,1,1
274,1,female,lower,Queenstown,Adult,0,0
275,1,female,upper,Southampton,Elder,1,1
276,0,female,lower,Southampton,Elder,0,0
277,0,male,middle,Southampton,Adult,0,0
278,0,male,lower,Queenstown,Adolescent,5,1
279,1,female,lower,Southampton,Adult,2,1
280,0,male,lower,Queenstown,Elder,0,0
281,0,male,lower,Southampton,Adult,0,0
282,0,male,lower,Southampton,Teenager,0,0
283,1,male,lower,Southampton,Young Adult,0,0
284,0,male,upper,Southampton,Adult,0,0
285,0,male,lower,Cherbourg,Adult,0,0
286,1,male,lower,Southampton,Adult,0,0
287,0,male,lower,Southampton,Young Adult,0,0
288,1,male,middle,Southampton,Elder,0,0
289,1,female,lower,Queenstown,Young Adult,0,0
290,1,female,upper,Southampton,Adult,0,0
291,1,female,upper,Cherbourg,Young Adult,1,1
292,0,male,middle,Cherbourg,Adult,0,0
293,0,female,lower,Southampton,Young Adult,0,0
294,0,male,lower,Southampton,Young Adult,0,0
295,0,male,upper,Cherbourg,Adult,0,0
296,0,male,lower,Cherbourg,Young Adult,0,0
297,0,female,upper,Southampton,Adolescent,3,1
298,1,male,upper,Southampton,Adult,0,0
299,1,female,upper,Cherbourg,Elder,1,1
300,1,female,lower,Queenstown,Adult,0,0
301,1,male,lower,Queenstown,Adult,2,1
302,0,male,lower,Southampton,Young Adult,0,0
303,1,female,middle,Queenstown,Adult,0,0
304,0,male,lower,Southampton,Adult,0,0
305,1,male,upper,Southampton,Adolescent,3,1
306,1,female,upper,Cherbourg,Adult,0,0
307,1,female,upper,Cherbourg,Teenager,1,1
308,0,male,middle,Cherbourg,Adult,1,1
309,1,female,upper,Cherbourg,Adult,0,0
310,1,female,upper,Cherbourg,Young Adult,0,0
311,1,female,upper,Cherbourg,Teenager,4,1
312,0,female,middle,Southampton,Adult,2,1
313,0,male,lower,Southampton,Adult,0,0
314,0,male,middle,Southampton,Elder,2,1
315,1,female,lower,Southampton,Adult,0,0
316,1,female,middle,Southampton,Young Adult,1,1
317,0,male,middle,Southampton,Elder,0,0
318,1,female,upper,Southampton,Adult,2,1
319,1,female,upper,Cherbourg,Adult,2,1
320,0,male,lower,Southampton,Young Adult,0,0
321,0,male,lower,Southampton,Adult,0,0
322,1,female,middle,Queenstown,Adult,0,0
323,1,female,middle,Southampton,Young Adult,2,1
324,0,male,lower,Southampton,Adult,10,1
325,1,female,upper,Cherbourg,Adult,0,0
326,0,male,lower,Southampton,Elder,0,0
327,1,female,middle,Southampton,Adult,0,0
328,1,female,lower,Southampton,Adult,2,1
329,1,female,upper,Cherbourg,Teenager,1,1
330,1,female,lower,Queenstown,Adult,2,1
331,0,male,upper,Southampton,Elder,0,0
332,0,male,upper,Southampton,Adult,1,1
333,0,male,lower,Southampton,Teenager,2,1
334,1,female,upper,Southampton,Adult,1,1
335,0,male,lower,Southampton,Adult,0,0
336,0,male,upper,Southampton,Adult,1,1
337,1,female,upper,Cherbourg,Elder,0,0
338,1,male,lower,Southampton,Elder,0,0
339,0,male,upper,Southampton,Elder,0,0
340,1,male,middle,Southampton,Adolescent,2,1
341,1,female,upper,Southampton,Young Adult,5,1
342,0,male,middle,Southampton,Adult,0,0
343,0,male,middle,Southampton,Young Adult,0,0
344,0,male,middle,Southampton,Adult,0,0
345,1,female,middle,Southampton,Young Adult,0,0
346,1,female,middle,Southampton,Adult,0,0
347,1,female,lower,Southampton,Adult,1,1
348,1,male,lower,Southampton,Adolescent,2,1
349,0,male,lower,Southampton,Elder,0,0
350,0,male,lower,Southampton,Young Adult,0,0
351,0,male,upper,Southampton,Adult,0,0
352,0,male,lower,Cherbourg,Teenager,2,1
353,0,male,lower,Southampton,Young Adult,1,1
354,0,male,lower,Cherbourg,Adult,0,0
355,0,male,lower,Southampton,Adult,0,0
356,1,female,upper,Southampton,Young Adult,1,1
357,0,female,middle,Southampton,Adult,0,0
358,1,female,lower,Queenstown,Adult,0,0
359,1,female,lower,Queenstown,Adult,0,0
360,0,male,lower,Southampton,Adult,5,1
361,0,male,middle,Cherbourg,Adult,1,1
362,0,female,lower,Cherbourg,Elder,1,1
363,0,male,lower,Southampton,Adult,0,0
364,0,male,lower,Queenstown,Adult,1,1
365,0,male,lower,Southampton,Adult,0,0
366,1,female,upper,Cherbourg,Elder,1,1
367,1,female,lower,Cherbourg,Adult,0,0
368,1,female,lower,Queenstown,Adult,0,0
369,1,female,upper,Cherbourg,Young Adult,0,0
370,1,male,upper,Cherbourg,Young Adult,1,1
371,0,male,lower,Southampton,Teenager,1,1
372,0,male,lower,Southampton,Young Adult,0,0
373,0,male,upper,Cherbourg,Young Adult,0,0
374,0,female,lower,Southampton,Adolescent,4,1
375,1,female,upper,Cherbourg,Adult,1,1
376,1,female,lower,Southampton,Young Adult,0,0
377,0,male,upper,Cherbourg,Adult,2,1
378,0,male,lower,Cherbourg,Young Adult,0,0
379,0,male,lower,Southampton,Young Adult,0,0
380,1,female,upper,Cherbourg,Elder,0,0
381,1,female,lower,Cherbourg,Adolescent,2,1
382,0,male,lower,Southampton,Adult,0,0
383,1,female,upper,Southampton,Adult,1,1
384,0,male,lower,Southampton,Adult,0,0
385,0,male,middle,Southampton,Teenager,0,0
386,0,male,lower,Southampton,Adolescent,7,1
387,1,female,middle,Southampton,Adult,0,0
388,0,male,lower,Queenstown,Adult,0,0
389,1,female,middle,Cherbourg,Teenager,0,0
390,1,male,upper,Southampton,Adult,3,1
391,1,male,lower,Southampton,Young Adult,0,0
392,0,male,lower,Southampton,Adult,2,1
393,1,female,upper,Cherbourg,Young Adult,1,1
394,1,female,lower,Southampton,Young Adult,2,1
395,0,male,lower,Southampton,Young Adult,0,0
396,0,female,lower,Southampton,Adult,0,0
397,0,male,middle,Southampton,Elder,0,0
398,0,male,middle,Southampton,Young Adult,0,0
399,1,female,middle,Southampton,Adult,0,0
400,1,male,lower,Southampton,Adult,0,0
401,0,male,lower,Southampton,Adult,0,0
402,0,female,lower,Southampton,Young Adult,1,1
403,0,male,lower,Southampton,Adult,1,1
404,0,female,lower,Southampton,Young Adult,0,0
405,0,male,middle,Southampton,Adult,1,1
406,0,male,lower,Southampton,Elder,0,0
407,1,male,middle,Southampton,Adolescent,2,1
408,0,male,lower,Southampton,Young Adult,0,0
409,0,female,lower,Southampton,Adult,4,1
410,0,male,lower,Southampton,Adult,0,0
411,0,male,lower,Queenstown,Adult,0,0
412,1,female,upper,Queenstown,Adult,1,1
413,0,male,middle,Southampton,Adult,0,0
414,1,male,lower,Southampton,Elder,0,0
415,0,female,lower,Southampton,Adult,0,0
416,1,female,middle,Southampton,Adult,2,1
417,1,female,middle,Southampton,Teenager,2,1
418,0,male,middle,Southampton,Adult,0,0
419,0,female,lower,Southampton,Adolescent,2,1
420,0,male,lower,Cherbourg,Adult,0,0
421,0,male,lower,Queenstown,Young Adult,0,0
422,0,male,lower,Southampton,Adult,0,0
423,0,female,lower,Southampton,Adult,2,1
424,0,male,lower,Southampton,Teenager,2,1
425,0,male,lower,Southampton,Adult,0,0
426,1,female,middle,Southampton,Adult,1,1
427,1,female,middle,Southampton,Young Adult,0,0
428,0,male,lower,Queenstown,Adult,0,0
429,1,male,lower,Southampton,Adult,0,0
430,1,male,upper,Southampton,Adult,0,0
431,1,female,lower,Southampton,Adult,1,1
432,1,female,middle,Southampton,Elder,1,1
433,0,male,lower,Southampton,Teenager,0,0
434,0,male,upper,Southampton,Elder,1,1
435,1,female,upper,Southampton,Teenager,3,1
436,0,female,lower,Southampton,Young Adult,4,1
437,1,female,middle,Southampton,Young Adult,5,1
438,0,male,upper,Southampton,Elder,5,1
439,0,male,middle,Southampton,Adult,0,0
440,1,female,middle,Southampton,Elder,2,1
441,0,male,lower,Southampton,Young Adult,0,0
442,0,male,lower,Southampton,Young Adult,1,1
443,1,female,middle,Southampton,Adult,0,0
444,1,male,lower,Southampton,Adult,0,0
445,1,male,upper,Southampton,Adolescent,2,1
446,1,female,middle,Southampton,Teenager,1,1
447,1,male,upper,Southampton,Adult,0,0
448,1,female,lower,Cherbourg,Adolescent,3,1
449,1,male,upper,Southampton,Elder,0,0
450,0,male,middle,Southampton,Adult,3,1
451,0,male,lower,Southampton,Adult,1,1
452,0,male,upper,Cherbourg,Adult,0,0
453,1,male,upper,Cherbourg,Elder,1,1
454,0,male,lower,Southampton,Adult,0,0
455,1,male,lower,Cherbourg,Adult,0,0
456,0,male,upper,Southampton,Elder,0,0
457,1,female,upper,Southampton,Adult,1,1
458,1,female,middle,Southampton,Elder,0,0
459,0,male,lower,Queenstown,Adult,0,0
460,1,male,upper,Southampton,Elder,0,0
461,0,male,lower,Southampton,Adult,0,0
462,0,male,upper,Southampton,Elder,0,0
463,0,male,middle,Southampton,Elder,0,0
464,0,male,lower,Southampton,Adult,0,0
465,0,male,lower,Southampton,Adult,0,0
466,0,male,middle,Southampton,Adult,0,0
467,0,male,upper,Southampton,Elder,0,0
468,0,male,lower,Queenstown,Adult,0,0
469,1,female,lower,Cherbourg,Adolescent,3,1
470,0,male,lower,Southampton,Adult,0,0
471,0,male,lower,Southampton,Adult,0,0
472,1,female,middle,Southampton,Adult,3,1
473,1,female,middle,Cherbourg,Young Adult,0,0
474,0,female,lower,Southampton,Young Adult,0,0
475,0,male,upper,Southampton,Adult,0,0
476,0,male,middle,Southampton,Adult,1,1
477,0,male,lower,Southampton,Adult,1,1
478,0,male,lower,Southampton,Young Adult,0,0
479,1,female,lower,Southampton,Adolescent,1,1
480,0,male,lower,Southampton,Adolescent,7,1
481,0,male,middle,Southampton,Adult,0,0
482,0,male,lower,Southampton,Elder,0,0
483,1,female,lower,Southampton,Elder,0,0
484,1,male,upper,Cherbourg,Young Adult,1,1
485,0,female,lower,Southampton,Adult,4,1
486,1,female,upper,Southampton,Adult,1,1
487,0,male,upper,Cherbourg,Elder,0,0
488,0,male,lower,Southampton,Adult,0,0
489,1,male,lower,Southampton,Adolescent,2,1
490,0,male,lower,Southampton,Adult,1,1
491,0,male,lower,Southampton,Young Adult,0,0
492,0,male,upper,Southampton,Elder,0,0
493,0,male,upper,Cherbourg,Elder,0,0
494,0,male,lower,Southampton,Young Adult,0,0
495,0,male,lower,Cherbourg,Adult,0,0
496,1,female,upper,Cherbourg,Elder,1,1
497,0,male,lower,Southampton,Adult,0,0
498,0,female,upper,Southampton,Young Adult,3,1
499,0,male,lower,Southampton,Young Adult,0,0
500,0,male,lower,Southampton,Teenager,0,0
501,0,female,lower,Queenstown,Young Adult,0,0
502,0,female,lower,Queenstown,Adult,0,0
503,0,female,lower,Southampton,Adult,0,0
504,1,female,upper,Southampton,Teenager,0,0
505,0,male,upper,Cherbourg,Teenager,1,1
506,1,female,middle,Southampton,Adult,2,1
507,1,male,upper,Southampton,Adult,0,0
508,0,male,lower,Southampton,Adult,0,0
509,1,male,lower,Southampton,Adult,0,0
510,1,male,lower,Queenstown,Adult,0,0
511,0,male,lower,Southampton,Adult,0,0
512,1,male,upper,Southampton,Adult,0,0
513,1,female,upper,Cherbourg,Elder,1,1
514,0,male,lower,Southampton,Young Adult,0,0
515,0,male,upper,Southampton,Elder,0,0
516,1,female,middle,Southampton,Adult,0,0
517,0,male,lower,Queenstown,Adult,0,0
518,1,female,middle,Southampton,Adult,1,1
519,0,male,lower,Southampton,Adult,0,0
520,1,female,upper,Southampton,Adult,0,0
521,0,male,lower,Southampton,Young Adult,0,0
522,0,male,lower,Cherbourg,Adult,0,0
523,1,female,upper,Cherbourg,Elder,1,1
524,0,male,lower,Cherbourg,Adult,0,0
525,0,male,lower,Queenstown,Elder,0,0
526,1,female,middle,Southampton,Elder,0,0
527,0,male,upper,Southampton,Adult,0,0
528,0,male,lower,Southampton,Adult,0,0
529,0,male,middle,Southampton,Young Adult,3,1
530,1,female,middle,Southampton,Adolescent,2,1
531,0,male,lower,Cherbourg,Adult,0,0
532,0,male,lower,Cherbourg,Teenager,2,1
533,1,female,lower,Cherbourg,Adult,2,1
534,0,female,lower,Southampton,Adult,0,0
535,1,female,middle,Southampton,Adolescent,2,1
536,0,male,upper,Southampton,Elder,0,0
537,1,female,upper,Cherbourg,Adult,0,0
538,0,male,lower,Southampton,Adult,0,0
539,1,female,upper,Cherbourg,Young Adult,2,1
540,1,female,upper,Southampton,Adult,2,1
541,0,female,lower,Southampton,Adolescent,6,1
542,0,female,lower,Southampton,Teenager,6,1
543,1,male,middle,Southampton,Adult,1,1
544,0,male,upper,Cherbourg,Elder,1,1
545,0,male,upper,Southampton,Elder,0,0
546,1,female,middle,Southampton,Young Adult,1,1
547,1,male,middle,Cherbourg,Adult,0,0
548,0,male,lower,Southampton,Adult,2,1
549,1,male,middle,Southampton,Adolescent,2,1
550,1,male,upper,Cherbourg,Teenager,2,1
551,0,male,middle,Southampton,Adult,0,0
552,0,male,lower,Queenstown,Adult,0,0
553,1,male,lower,Cherbourg,Young Adult,0,0
554,1,female,lower,Southampton,Young Adult,0,0
555,0,male,upper,Southampton,Elder,0,0
556,1,female,upper,Cherbourg,Elder,1,1
557,0,male,upper,Cherbourg,Adult,0,0
558,1,female,upper,Southampton,Adult,2,1
559,1,female,lower,Southampton,Adult,1,1
560,0,male,lower,Queenstown,Adult,0,0
561,0,male,lower,Southampton,Adult,0,0
562,0,male,middle,Southampton,Adult,0,0
563,0,male,lower,Southampton,Adult,0,0
564,0,female,lower,Southampton,Adult,0,0
565,0,male,lower,Southampton,Young Adult,2,1
566,0,male,lower,Southampton,Young Adult,0,0
567,0,female,lower,Southampton,Adult,4,1
568,0,male,lower,Cherbourg,Adult,0,0
569,1,male,lower,Southampton,Adult,0,0
570,1,male,middle,Southampton,Elder,0,0
571,1,female,upper,Southampton,Elder,2,1
572,1,male,upper,Southampton,Adult,0,0
573,1,female,lower,Queenstown,Adult,0,0
574,0,male,lower,Southampton,Teenager,0,0
575,0,male,lower,Southampton,Young Adult,0,0
576,1,female,middle,Southampton,Adult,0,0
577,1,female,upper,Southampton,Adult,1,1
578,0,female,lower,Cherbourg,Adult,1,1
579,1,male,lower,Southampton,Adult,0,0
580,1,female,middle,Southampton,Young Adult,2,1
581,1,female,upper,Cherbourg,Adult,2,1
582,0,male,middle,Southampton,Elder,0,0
583,0,male,upper,Cherbourg,Adult,0,0
584,0,male,lower,Cherbourg,Adult,0,0
585,1,female,upper,Southampton,Teenager,2,1
586,0,male,middle,Southampton,Elder,0,0
587,1,male,upper,Cherbourg,Elder,2,1
588,0,male,lower,Southampton,Young Adult,0,0
589,0,male,lower,Southampton,Adult,0,0
590,0,male,lower,Southampton,Adult,0,0
591,1,female,upper,Cherbourg,Elder,1,1
592,0,male,lower,Southampton,Elder,0,0
593,0,female,lower,Queenstown,Adult,2,1
594,0,male,middle,Southampton,Adult,1,1
595,0,male,lower,Southampton,Adult,2,1
596,1,female,middle,Southampton,Adult,0,0
597,0,male,lower,Southampton,Elder,0,0
598,0,male,lower,Cherbourg,Adult,0,0
599,1,male,upper,Cherbourg,Elder,1,1
600,1,female,middle,Southampton,Young Adult,3,1
601,0,male,lower,Southampton,Adult,0,0
602,0,male,upper,Southampton,Adult,0,0
